name, 0 16;
1, 42 36;
2, 36;
3, 36;
4, 0;
5, 42 38;
6, 0;
7, 36;
8, 36;
9, 42 36;
10, 0;
11, 0;
12, 0;
13, 42 38;
14, 0;
15, 0;
16, 0;
name, 811 16;
17, 42 36;
18, 0;
19, 0;
20, 0;
21, 42;
22, 0;
23, 0;
24, 0;
25, 42;
26, 0;
27, 0;
28, 0;
29, 42;
30, 0;
31, 0;
32, 0;
name, 812 16;
33, 42 36;
34, 36;
35, 42 36;
36, 0;
37, 42 38;
38, 0;
39, 42 36;
40, 36;
41, 42 36;
42, 0;
43, 0;
44, 0;
45, 42 38;
46, 0;
47, 42;
48, 42;
name, 813 16;
49, 42 36;
50, 36;
51, 42 36;
52, 0;
53, 42 38 36;
54, 0;
55, 36;
56, 36;
57, 42 36;
58, 0;
59, 42 38;
60, 46;
61, 42 38 36;
62, 0;
63, 0;
64, 0;
name, 821 16;
65, 42 36;
66, 0;
67, 0;
68, 0;
69, 42 38;
70, 0;
71, 0;
72, 0;
73, 42 36;
74, 0;
75, 0;
76, 0;
77, 42 38;
78, 0;
79, 0;
80, 0;
name, 822 16;
81, 42 36;
82, 0;
83, 42 36;
84, 0;
85, 38;
86, 0;
87, 46 42;
88, 0;
89, 42 36;
90, 0;
91, 42 36;
92, 0;
93, 38;
94, 0;
95, 46 36;
96, 0;
name, 823 16;
97, 42 36;
98, 0;
99, 46 42 36;
100, 0;
101, 38 36;
102, 0;
103, 46 42;
104, 0;
105, 42 36;
106, 0;
107, 42 36;
108, 0;
109, 38 36;
110, 0;
111, 46 42;
112, 38;
name, 831 16;
113, 46 42 36;
114, 36;
115, 36;
116, 42 36;
117, 0;
118, 36;
119, 46 36;
120, 36;
121, 46 42 36;
122, 38 36;
123, 0;
124, 36;
125, 38;
126, 0;
127, 46 36;
128, 0;
name, 832 16;
129, 42 36;
130, 36;
131, 36;
132, 46 42 38;
133, 38;
134, 36;
135, 36;
136, 36;
137, 42 36;
138, 0;
139, 36;
140, 0;
141, 38;
142, 0;
143, 0;
144, 0;
name, 833 16;
145, 42 36;
146, 38 36;
147, 38 36;
148, 46 42;
149, 38;
150, 36;
151, 36;
152, 36;
153, 42 36;
154, 0;
155, 36;
156, 0;
157, 38;
158, 0;
159, 0;
160, 0;
name, 841 16;
161, 42 36;
162, 0;
163, 0;
164, 0;
165, 42 38;
166, 0;
167, 0;
168, 0;
169, 42;
170, 0;
171, 36;
172, 0;
173, 42 38;
174, 0;
175, 0;
176, 0;
name, 842 16;
177, 42 36;
178, 36;
179, 0;
180, 36;
181, 42 38;
182, 0;
183, 0;
184, 0;
185, 42;
186, 36;
187, 36;
188, 0;
189, 42 38;
190, 0;
191, 0;
192, 36;
name, 843 16;
193, 42 36;
194, 36;
195, 42 36;
196, 36;
197, 42 38;
198, 0;
199, 46;
200, 42 36;
201, 42 36;
202, 36;
203, 42 36;
204, 0;
205, 42 36;
206, 42;
207, 46 42 38;
208, 42;
