1	1	1	2	2	 1 0 1 0 1 1 1 0 1 0 0 0 1 0 1 0 	 1 1 0 1 0 1 1 0 1 0 0 0 1 0 1 0
2	1	2	2	2	 1 0 1 0 1 1 1 0 1 0 0 0 1 0 1 0 	 1 0 1 0 1 0 1 1 1 0 0 0 1 0 1 0
3	1	2	5	3	 1 0 1 0 1 1 1 0 1 0 0 0 1 0 1 0 	 1 0 0 1 0 1 0 1 1 0 0 0 1 0 1 0
4	1	6	2	2	 1 0 1 0 1 1 1 0 1 0 0 0 1 0 1 0 	 1 0 1 0 1 0 1 0 1 1 0 0 1 0 1 0
5	2	3	4	2	 1 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 	 1 1 0 0 1 0 1 1 0 0 1 0 1 0 0 0
6	2	3	4	4	 1 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 	 1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 0
7	2	6	4	3	 1 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 	 1 0 0 1 0 0 1 0 1 1 1 0 1 0 0 0
8	2	5	4	4	 1 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 	 1 0 0 0 1 0 0 1 0 1 1 0 1 0 0 0
9	3	0	6	2	 1 1 1 0 1 0 1 0 1 0 0 0 1 0 0 0 	 1 0 1 1 0 1 0 1 0 1 0 0 1 0 0 0
10	3	2	4	3	 1 1 1 0 1 0 1 0 1 0 0 0 1 0 0 0 	 1 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0
11	3	2	3	2	 1 1 1 0 1 0 1 0 1 0 0 0 1 0 0 0 	 1 1 1 0 1 1 0 1 0 1 0 0 1 0 0 0
12	3	3	3	3	 1 1 1 0 1 0 1 0 1 0 0 0 1 0 0 0 	 1 1 1 0 0 1 1 0 1 0 1 0 1 0 0 0
13	4	0	4	2	 1 1 0 1 0 1 1 0 0 0 1 0 1 0 0 0 	 1 0 1 0 1 0 1 1 0 0 1 0 1 0 0 0
14	4	2	1	3	 1 1 0 1 0 1 1 0 0 0 1 0 1 0 0 0 	 1 1 0 1 0 1 0 1 1 0 1 0 1 0 0 0
15	4	6	4	5	 1 1 0 1 0 1 1 0 0 0 1 0 1 0 0 0 	 1 1 0 0 1 0 1 0 1 1 0 0 1 0 0 0
16	4	3	1	3	 1 1 0 1 0 1 1 0 0 0 1 0 1 0 0 0 	 1 1 0 1 0 1 0 1 0 1 1 0 1 0 0 0
17	5	1	5	2	 1 0 1 0 1 0 1 1 0 1 0 1 0 0 0 0 	 1 0 0 1 0 1 0 1 1 0 0 1 0 0 0 0
18	5	1	5	3	 1 0 1 0 1 0 1 1 0 1 0 1 0 0 0 0 	 1 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0
19	5	5	4	3	 1 0 1 0 1 0 1 1 0 1 0 1 0 0 0 0 	 1 0 1 0 0 1 0 1 0 1 1 1 0 0 0 0
20	5	2	1	2	 1 0 1 0 1 0 1 1 0 1 0 1 0 0 0 0 	 1 0 1 0 1 0 1 0 1 0 1 1 0 0 0 0
21	6	4	5	2	 1 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 	 1 0 1 0 1 0 0 1 0 1 0 1 0 0 0 0
22	6	6	3	3	 1 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 	 1 0 1 0 0 1 0 0 1 0 1 1 0 0 0 0
23	6	6	3	3	 1 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 	 1 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0
24	6	6	6	3	 1 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 	 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0
25	7	2	2	2	 1 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 	 1 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0
26	7	6	6	3	 1 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 	 1 1 0 0 0 1 0 1 0 0 1 0 1 0 0 0
27	7	4	1	3	 1 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 	 1 1 0 1 0 0 1 0 1 0 0 1 1 0 0 0
28	7	2	4	2	 1 1 0 1 0 1 0 0 1 0 0 0 1 0 0 0 	 1 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0
29	8	2	2	2	 1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 0 	 1 0 1 0 0 0 1 0 1 0 1 1 1 0 0 0
30	8	1	1	2	 1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 0 	 1 0 1 0 0 1 0 1 0 1 0 1 1 0 0 0
31	8	2	2	3	 1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 0 	 1 0 1 0 0 1 0 0 1 0 1 0 1 1 0 0
32	8	4	3	4	 1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 0 	 1 0 1 0 0 1 0 0 0 1 0 1 0 1 1 0
33	9	4	2	2	 1 0 0 1 0 1 1 0 1 0 1 0 1 0 0 0 	 1 0 0 1 0 0 1 1 0 1 0 1 1 0 0 0
34	9	2	1	2	 1 0 0 1 0 1 1 0 1 0 1 0 1 0 0 0 	 1 0 0 1 0 1 0 1 1 0 1 0 1 0 0 0
35	9	2	6	3	 1 0 0 1 0 1 1 0 1 0 1 0 1 0 0 0 	 1 0 0 1 0 1 0 0 1 1 0 1 0 1 0 0
36	9	2	2	2	 1 0 0 1 0 1 1 0 1 0 1 0 1 0 0 0 	 1 0 0 1 0 1 1 0 1 1 1 0 1 0 1 0
