name, 111 16;
1, 36;
2, 0;
3, 42;
4, 0;
5, 38 36;
6, 0;
7, 0;
8, 0;
9, 36;
10, 0;
11, 42;
12, 0;
13, 38 36;
14, 0;
15, 0;
16, 0;
name, 112 16;
17, 42 36;
18, 0;
19, 42;
20, 0;
21, 42 38 36;
22, 0;
23, 42 36;
24, 0;
25, 42 36;
26, 0;
27, 42;
28, 0;
29, 42 38 36;
30, 0;
31, 46 42 36;
32, 0;
name, 113 16;
33, 42 36;
34, 0;
35, 42 36;
36, 36;
37, 42 38 36;
38, 0;
39, 42;
40, 0;
41, 42 36;
42, 0;
43, 42 36;
44, 0;
45, 42 38 36;
46, 0;
47, 42;
48, 36;
name, 121 16;
49, 42 36;
50, 0;
51, 42;
52, 0;
53, 42 38;
54, 0;
55, 42;
56, 0;
57, 42 36;
58, 0;
59, 42;
60, 0;
61, 42 38;
62, 0;
63, 46 42;
64, 0;
name, 122 16;
65, 42 36;
66, 0;
67, 42 36;
68, 0;
69, 42 38 36;
70, 0;
71, 46 42;
72, 0;
73, 42 36;
74, 0;
75, 46 42;
76, 0;
77, 42 38 36;
78, 0;
79, 46 42;
80, 0;
name, 123 16;
81, 42 36;
82, 0;
83, 46 42 36;
84, 0;
85, 42 38 36;
86, 0;
87, 46 42;
88, 0;
89, 42 36;
90, 0;
91, 46 42;
92, 0;
93, 42 38 36;
94, 0;
95, 46;
96, 0;
name, 131 16;
97, 36;
98, 0;
99, 42;
100, 38;
101, 42 36;
102, 46;
103, 42;
104, 36;
105, 42 36;
106, 36;
107, 46 42 38;
108, 46 36;
109, 42 38 36;
110, 0;
111, 0;
112, 0;
name, 132 16;
113, 42 36;
114, 0;
115, 42;
116, 0;
117, 42 38 36;
118, 46;
119, 42;
120, 0;
121, 42 38 36;
122, 0;
123, 42 38;
124, 46;
125, 42 38 36;
126, 0;
127, 0;
128, 0;
name, 133 16;
129, 42 36;
130, 0;
131, 0;
132, 0;
133, 42 38;
134, 0;
135, 42;
136, 0;
137, 42 38 36;
138, 0;
139, 46 42;
140, 46;
141, 42 38 36;
142, 0;
143, 42;
144, 0;
name, 141 16;
145, 42 36;
146, 0;
147, 42;
148, 0;
149, 42;
150, 0;
151, 42;
152, 0;
153, 42 36;
154, 0;
155, 42;
156, 0;
157, 42;
158, 0;
159, 42;
160, 0;
name, 142 16;
161, 42 36;
162, 36;
163, 42;
164, 0;
165, 42 38 36;
166, 0;
167, 42;
168, 0;
169, 42 36;
170, 0;
171, 42;
172, 0;
173, 42 38 36;
174, 0;
175, 42;
176, 0;
name, 143 16;
177, 42 36;
178, 0;
179, 42 36;
180, 0;
181, 42 36;
182, 0;
183, 42 36;
184, 0;
185, 42 36;
186, 36;
187, 46 36;
188, 0;
189, 42 36;
190, 46 36;
191, 38;
192, 0;
name, 0 16;
193, 42 36;
194, 0;
195, 42;
196, 0;
197, 42 38 36;
198, 0;
199, 42;
200, 0;
201, 42 36;
202, 0;
203, 42;
204, 0;
205, 42 38 36;
206, 0;
207, 42;
208, 0;
