name, 0 16;
1, 42 36;
2, 42;
3, 46 42;
4, 42;
5, 42 38 36;
6, 42;
7, 46 42;
8, 42;
9, 42 36;
10, 42;
11, 46 42;
12, 42;
13, 42 38 36;
14, 46 42;
15, 42;
16, 42;
name, 311 16;
17, 42 36;
18, 42;
19, 42;
20, 42;
21, 42 38 36;
22, 42;
23, 42;
24, 42;
25, 42 36;
26, 42;
27, 42;
28, 42;
29, 42 38 36;
30, 42;
31, 42;
32, 42;
name, 312 16;
33, 42 36;
34, 42;
35, 46 42;
36, 42;
37, 42 38 36;
38, 42;
39, 46 42;
40, 42;
41, 42 36;
42, 42;
43, 46 42;
44, 42;
45, 42 38 36;
46, 42;
47, 46 42;
48, 42;
name, 313 16;
49, 42 36;
50, 42;
51, 46 42;
52, 42;
53, 42 38 36;
54, 42;
55, 46 42;
56, 42 38;
57, 42 36;
58, 42;
59, 46 42;
60, 42;
61, 42 38 36;
62, 42;
63, 46 42;
64, 42;
name, 321 16;
65, 42 36;
66, 0;
67, 46 42;
68, 42;
69, 42 38 36;
70, 42;
71, 46 42;
72, 42;
73, 42 36;
74, 42;
75, 46 42;
76, 42;
77, 42 36;
78, 42;
79, 46 42;
80, 42;
name, 322 16;
81, 42 36;
82, 42;
83, 46 42;
84, 42;
85, 42 38 36;
86, 42;
87, 46 42;
88, 42;
89, 42 36;
90, 42;
91, 46 42;
92, 42;
93, 42 38 36;
94, 42;
95, 46 42 36;
96, 42;
name, 323 16;
97, 42 36;
98, 42;
99, 46 42;
100, 42 36;
101, 42 38 36;
102, 42;
103, 46 42;
104, 42;
105, 42 36;
106, 42;
107, 46 42;
108, 42;
109, 42 38 36;
110, 42;
111, 46 42;
112, 42;
name, 331 16;
113, 42 36;
114, 42 38;
115, 46 42 38;
116, 36;
117, 36;
118, 42;
119, 46 42 36;
120, 42;
121, 42 36;
122, 42;
123, 46 42;
124, 42;
125, 42 38 36;
126, 0;
127, 46 42;
128, 42;
name, 332 16;
129, 42 36;
130, 42;
131, 46 42 36;
132, 42;
133, 42 36;
134, 42;
135, 46 42;
136, 42 38;
137, 42 36;
138, 42;
139, 46 42;
140, 42;
141, 42 38 36;
142, 0;
143, 46 42;
144, 42;
name, 333 16;
145, 42 36;
146, 42;
147, 46 42 38;
148, 42;
149, 36;
150, 42;
151, 46 42;
152, 42 38;
153, 42 36;
154, 42;
155, 46 42;
156, 42;
157, 42 38 36;
158, 0;
159, 46 42;
160, 42;
name, 341 16;
161, 42 36;
162, 0;
163, 42;
164, 0;
165, 42 36;
166, 0;
167, 42;
168, 0;
169, 42 36;
170, 0;
171, 42;
172, 0;
173, 42 36;
174, 0;
175, 46 42;
176, 0;
name, 342 16;
177, 42 36;
178, 42;
179, 46;
180, 42;
181, 42 38 36;
182, 42;
183, 46;
184, 42;
185, 42 36;
186, 42;
187, 46;
188, 42;
189, 42 38 36;
190, 42;
191, 46;
192, 42;
name, 343 16;
193, 42 36;
194, 42;
195, 46 42;
196, 46 42;
197, 42 36;
198, 42;
199, 46 42;
200, 46 42;
201, 42 36;
202, 42;
203, 46 42;
204, 46 42;
205, 42 38 36;
206, 42;
207, 46 42;
208, 46 42 38;
