name, 0 16;
1, 42 36;
2, 42;
3, 0;
4, 38;
5, 42 36;
6, 42;
7, 42 38;
8, 0;
9, 36;
10, 42;
11, 42;
12, 38;
13, 42 36;
14, 42;
15, 42 38;
16, 0;
name, 511 16;
17, 42 36;
18, 0;
19, 0;
20, 0;
21, 42 36;
22, 0;
23, 42;
24, 0;
25, 36;
26, 0;
27, 42;
28, 0;
29, 42;
30, 0;
31, 42;
32, 0;
name, 512 16;
33, 42 36;
34, 42;
35, 46 42;
36, 38;
37, 46 42 38 36;
38, 42;
39, 46 42 38;
40, 0;
41, 42 36;
42, 42;
43, 46 42;
44, 38;
45, 42 38 36;
46, 42;
47, 46 42 38 36;
48, 42 38;
name, 513 16;
49, 42 36;
50, 42;
51, 46 42 38;
52, 42 38 36;
53, 42 36;
54, 42;
55, 46 42 38;
56, 42;
57, 42 36;
58, 42;
59, 42 38;
60, 42 38;
61, 42 36;
62, 42;
63, 42 38;
64, 42;
name, 521 16;
65, 36;
66, 0;
67, 0;
68, 38;
69, 42 36;
70, 0;
71, 38;
72, 0;
73, 36;
74, 0;
75, 0;
76, 38;
77, 42 36;
78, 0;
79, 38;
80, 0;
name, 522 16;
81, 42 36;
82, 42;
83, 46 42;
84, 42;
85, 42 36;
86, 42;
87, 42 38;
88, 42;
89, 42 36;
90, 42;
91, 42;
92, 42 36;
93, 42 36;
94, 42;
95, 42 38;
96, 42;
name, 523 16;
97, 42 36;
98, 42;
99, 46 42 38;
100, 42 38 36;
101, 42 36;
102, 42;
103, 46 42 38;
104, 42;
105, 42 36;
106, 42;
107, 42 38;
108, 42 38;
109, 42 36;
110, 42;
111, 42 38;
112, 42;
name, 531 16;
113, 42 36;
114, 42;
115, 38;
116, 38;
117, 46 36;
118, 42 36;
119, 42 38;
120, 0;
121, 46 36;
122, 42;
123, 42;
124, 38;
125, 42 36;
126, 42;
127, 42;
128, 0;
name, 532 16;
129, 42 36;
130, 42;
131, 38;
132, 38;
133, 36;
134, 42;
135, 42 38;
136, 0;
137, 46 36;
138, 42;
139, 42;
140, 38;
141, 42 36;
142, 42;
143, 42 38 36;
144, 0;
name, 533 16;
145, 42 36;
146, 42;
147, 38;
148, 38;
149, 36;
150, 42;
151, 42 38;
152, 0;
153, 46 36;
154, 42;
155, 42;
156, 38;
157, 42 36;
158, 42;
159, 42 38 36;
160, 0;
name, 541 16;
161, 42 36;
162, 42;
163, 0;
164, 38;
165, 42 36;
166, 42;
167, 42 38;
168, 0;
169, 46 36;
170, 42;
171, 42;
172, 46;
173, 46;
174, 42;
175, 46;
176, 42;
name, 542 16;
177, 42 36;
178, 42;
179, 0;
180, 36;
181, 42 36;
182, 42;
183, 42 38;
184, 0;
185, 36;
186, 42;
187, 42;
188, 36;
189, 42 36;
190, 0;
191, 46 42 38;
192, 0;
name, 543 16;
193, 42 36;
194, 42 36;
195, 42;
196, 42 36;
197, 42 36;
198, 42;
199, 46 38;
200, 42;
201, 42 36;
202, 42 36;
203, 42;
204, 42 36;
205, 42 36;
206, 42;
207, 46 38;
208, 42;
